,rank,name,year,Yahoo_rating,country,genres,budget,revenue,keywords,MLens_rating
111,112,THE MISSION,1999,4.39,FR,Adventure/Drama/Action/History,24500000.0,17218023.0,christianity/brazil/waterfall/mission/argentina/jungle/colonisation/south america/18th century/indigenous peoples/assimilation/jesuit priest,4.469993781094527
112,113,Fleeting,1973,4.39,GB,,0.0,0.0,,4.469993781094527
113,114,Gran Torino,2008,4.38,US,Drama,33000000.0,269958228.0,rape/war veteran/immigration/gangster/priest/gang/old man/teenager/detroit/widower/car/hmong,4.469993781094527
114,115,New World,2013,4.38,JP,Action/Science Fiction/Adventure,0.0,0.0,tokusatsu,4.469993781094527
115,116,Kurosawa Movie 22 Heaven and Hell,1963,4.38,,,,,,
116,117,Mud River,1981,4.38,JP,Drama,0.0,0.0,,4.469993781094527
117,118,A man is hard 17 Junjiro Evening small burnt,1976,4.38,,,,,,
118,119,East wind blowing in the schoolyard,2016,4.38,,,,,,
119,120,Indigo summer love,2002,4.38,,,,,,
120,121,Anne of red hair,1986,4.38,,,,,,
121,122,"Corina, Corina",1994,4.38,US,Comedy/Drama/Family/Romance,0.0,0.0,loss of loved one/daughter/friendship/mute/housekeeper/xenophobia/woman director,4.469993781094527
122,123,Boundary of the sky / Chapter 5 Contradiction spiral,2008,4.38,,,,,,
123,124,In love with the sun,2000,4.38,,,,,,
124,125,Someone loves you,1987,4.38,PH,Drama,0.0,0.0,philippines/woman director,4.469993781094527
125,126,Remember me,2017,4.37,US,Drama/Romance,16000000.0,56032889.0,new york/parent child relationship/grieving/young adult/college student/21st century,4.469993781094527
126,127,Life is beautiful,1997,4.37,IT,Comedy/Drama,20000000.0,229400000.0,italy/riddle/loss of loved one/bookshop/self sacrifice/mass murder/concentration camp/fascism/world war ii/love of one's life/deportation/jew persecution/nazi/national socialism/charade/riding a bicycle/story teller/concentration camp prisoner/dying and death,4.469993781094527
127,128,New Cinema Paradise,1988,4.37,,,,,,
128,129,Alien 2,1986,4.37,US,Action/Thriller/Science Fiction,18500000.0,183316455.0,android/extraterrestrial technology/space marine/spaceman/cryogenics/vacuum/space colony/warrior woman/settler/space travel/colony/alien/xenomorph,4.469993781094527
129,130,Dungal Surely Soon,2016,4.37,,,,,,
130,131,Midnight Run,1988,4.37,US,Adventure/Comedy/Crime,30000000.0,38413606.0,"crooked lawyer/bail jumper/mafia accountant/stretch limousine/manhattan, new york city/southwestern u.s./bus station/police surveillance",4.469993781094527
131,132,Verf Bali 2 King's Triumph Complete Edition,2017,4.37,,,,,,
132,133,The Call of the Mountain,1980,4.37,CH,Adventure/Romance,0.0,0.0,,4.469993781094527
133,134,Miss Saigon 25th Anniversary Performance in London,2016,4.37,,,,,,
134,135,The Most Violent Dressing Plan,2004,4.37,,,,,,
135,136,Three Fugitives,1988,4.37,US,Comedy,15000000.0,40590000.0,release from prison/daughter/remake/on the run/fugitive/bank robbery/ex-con/girl disguised as boy/odd couple/comedy of errors/running from police/false accusation,4.469993781094527
136,137,Eleni's Journey,2004,4.37,,,,,,
137,138,Christmas Carol,1970,4.37,US,Family/Animation,3000000.0,21000000.0,cartoon/ghost/charles dickens/christmas,4.469993781094527
138,139,Even if Tomorrow Does Not Come,2003,4.37,,,,,,
139,140,Back to the Future PART3,1990,4.36,,,,,,
140,141,Schindler's List,1993,4.36,US,Drama/History/War,22000000.0,321365567.0,based on novel or book/factory/concentration camp/hero/holocaust/world war ii/ghetto/jew persecution/krakow/auschwitz/industrialist/jew/nazi/defense industry/biography/based on a true story/train/poland/ss/weapons manufacturer,4.469993781094527
141,142,Shabondama,2016,4.36,NL,Drama/Action/Thriller/Romance,0.0,0.0,,4.469993781094527
142,143,Chaplin dictator,1940,4.36,US,Comedy,2000000.0,11000000.0,germany/dictator/hairdresser/amnesia/fascism/jewish ghetto/world war i/jew/nazi/propaganda/national socialism/national socialist party/speech/satire/good vs evil/barber shop,4.469993781094527
143,144,Poplar Fall,2015,4.36,,,,,,
144,145,Bolero of Love and Sorrow,1981,4.36,,,,,,
145,146,Oasis,2002,4.36,GB,TV Movie/Drama/Science Fiction,0.0,0.0,space/priest,4.469993781094527
146,147,Clown's Red Nose,2013,4.36,,,,,,
147,148,Chikamatsu Story,1954,4.36,,,,,,
148,149,Winter Light,1962,4.36,US,Documentary/Music,0.0,0.0,avant-garde/short/vivaldi,4.469993781094527
149,150,Korya Love Prague,1996,4.36,,,,,,
150,151,Rocky 1,1976,4.35,US,Drama,1000000.0,117235147.0,underdog/philadelphia/transporter/italian american/fight/love of one's life/publicity/boxer/independence/boxing match/training/lovers/surprise/world champion/amateur/victory,4.469993781094527
151,152,American History X,1998,4.35,US,Drama,20000000.0,23875127.0,usa/neo nazism/prison/skinhead/sibling relationship/rape/fascism/brother/basketball/jail/school/swastika/los angeles/family/hate/xenophobia/interracial friendship/nazism,4.469993781094527
152,153,Apartment Key Rental,1960,4.35,,,,,,
153,154,Hello! ? Ghost,2010,4.35,KR,Horror/Comedy/Drama,0.0,0.0,,4.469993781094527
154,155,Follow Me,1973,4.35,,Documentary,0.0,0.0,,4.469993781094527
155,156,Rudy / Winning Run of Tears,1993,4.35,,,,,,
156,157,Nicholas Winton and 669 Children,2011,4.35,,,,,,
157,158,Who are your friends?,1987,4.35,,,,,,
158,159,The man who shot Liberty Balance,1962,4.35,,,,,,
159,160,M,1931,4.35,DE,Drama/Action/Thriller/Crime,0.0,0.0,germany/berlin germany/underworld/child murderer/detective inspector/investigation/psychopath/organized crime/black and white/criminal/child killer/pre-code/psycho/expressionism/german expressionism,4.469993781094527
160,161,Cinderella,2011,4.35,US,Comedy/Family/Romance,0.0,0.0,music/high school/aspiring singer/orphan/teenager/teenage romance/modern fairy tale,4.469993781094527
161,162,Kids Return Kids Return,1996,4.34,,,,,,
162,163,Distant Dawn,1987,4.34,,,,,,
163,164,Departure-From Ashoro,2008,4.34,,,,,,
164,165,The Summer of Crispy,1999,4.34,,,,,,
165,166,Seven Persons in Acupuncture,1975,4.34,,,,,,
166,167,Black Eyes,1987,4.34,US,,0.0,0.0,,4.469993781094527
167,168,Tolerance,1916,4.34,TH,Thriller/Action/Crime,5000000.0,0.0,,4.469993781094527
168,169,Guardians of the Galaxy: remix,2017,4.33,,,,,,
169,170,Bafubari 2 King of the Arc de,2017,4.33,,,,,,
170,171,project a,1983,4.33,HK,Action/Comedy/Adventure,0.0,0.0,sea/martial arts/coast guard/british empire/police/hong kong/pirate/smuggler/19th century,4.469993781094527
171,172,Kid,1921,4.33,US,Comedy/Drama,250000.0,2500000.0,angel/suicide attempt/fistfight/slapstick/class differences/rich poor/foundling/silent film/dream sequence/semi autobiographical/car theft/little tramp/illegitimate child/unwed mother/abandoned baby/out of wedlock child/raised like own child/good deed doer,4.469993781094527
172,173,mice and Men,1992,4.33,US,Drama,0.0,5471088.0,dream/worker/country life/farm worker/farm/error/great depression,4.469993781094527
173,174,my valley Ki becomes green,1941,4.33,,,,,,
174,175,Fanny and Alexander,1982,4.33,SE,Fantasy/Drama/Mystery,0.0,6000000.0,sibling relationship/loss of loved one/sweden/bishop/dying and death/funeral/theatre group/child prodigy/ghost/christmas/early 1900s,4.469993781094527
175,176,Hutong Barber,2006,4.33,,,,,,
176,177,"Dear Sir, I Love You",2011,4.33,,,,,,
177,178,Pauly,1998,4.33,US,Comedy/Family,0.0,0.0,parrot/research/thief/girl/mexican american,4.469993781094527
178,179,Greatest Showman,2017,4.32,US,Drama,84000000.0,432844677.0,circus/musical/biography/diversity/based on a true story/outcast/singing/dreamer/freak show/showman,4.469993781094527
179,180,Hula Girl,2006,4.32,JP,Comedy/Drama/Family,0.0,0.0,dancing/hope/mining town/bankruptcy/tourist attraction/hula,4.469993781094527
180,181,Star Wars 5 Empire Strikes Back,1980,4.32,US,Adventure/Action/Science Fiction,18000000.0,538400000.0,rebel/android/asteroid/spacecraft/space battle/snow storm/space colony/lightsaber/jedi/good vs evil/rebellion/the force/space opera/stormtrooper/wookie/jedi master/jedi training/droid,4.469993781094527
181,182,Not Destiny,2005,4.32,US,Fantasy/Comedy/Science Fiction/Romance,20000000.0,15379253.0,wish,4.469993781094527
182,183,Paper Moon,1973,4.32,US,Comedy/Crime/Drama,2500000.0,30900000.0,bible/con man/carnival/funeral/great depression/missouri/friendship/aunt/kansas/girl/con/road movie/tween girl,4.469993781094527
183,184,Zombie,1978,4.32,US,Comedy/Horror,0.0,0.0,strip club/striptease/zombie/lap dance/violence/splatter/strip tease/head crushing/small town girl,4.469993781094527
184,185,Ending Note,2011,4.32,JP,Documentary,0.0,0.0,woman director,4.469993781094527
185,186,Love Circumference Ohm Shanty Ohm,2007,4.32,,,,,,
186,187,Minami Kami-sama Secret of the Secrets Make a Miracle ♪ Teppuru and Dokidoki Komatama World,2017,4.32,,,,,,
187,188,Condolences,1940,4.32,,,0.0,0.0,,4.469993781094527
188,189,Deadly Kill 4 The Harassment,1987,4.32,,,,,,
189,190,For The Boys,1991,4.32,US,Music/Drama,40000000.0,23202444.0,dancer/entertainer/concert,4.469993781094527
190,191,Mariya Yoshiya,1955,4.32,,,,,,
191,192,Mission: Impossible 6 Fallout,2018,4.31,CN,Action/Adventure,178000000.0,791017452.0,"paris, france/london, england/spy/helicopter/plutonium/gun/countdown/race against time/sequel/motorcycle/violence/bomb remote detonator/handgun/hand to hand combat/kashmir",4.469993781094527
192,193,The Strongest Two,2011,4.31,,,,,,
193,194,Star Wars 4,1977,4.31,US,Adventure/Action/Science Fiction,11000000.0,775398007.0,android/galaxy/hermit/death star/lightsaber/jedi/rescue mission/empire/rebellion/planet/smuggler/the force/space opera/galactic war/stormtrooper/totalitarianism,4.469993781094527
194,195,Good Will Hunting Departure,1997,4.31,,,,,,
195,196,Leonard's Morning,1990,4.31,,,,,,
196,197,Responsible Helper,2012,4.31,,,,,,
197,198,Towering Inferno,1974,4.31,US,Action/Thriller,14000000.0,116000000.0,san francisco/fire/helicopter/skyscraper/firemen/fire engine/rescue/disaster/explosion/trapped/elevator/disaster movie/world's tallest building,4.469993781094527
198,199,Charge,1995,4.31,GB,Documentary,0.0,0.0,motor sport/motorcycle/green energy/isle of man,4.469993781094527
199,200,Ben Her,1959,4.31,TR,Comedy,0.0,0.0,remake,4.469993781094527
200,201,Full of Sun,1960,4.31,FR,Romance/Drama,0.0,0.0,morocco/brotherhood/man between two women/summer holiday,4.469993781094527
201,202,Dave,1993,4.31,US,Comedy,0.0,63000000.0,coma/the white house/usa president/apoplectic stroke/doppelgänger,4.469993781094527
202,203,Manipulated City,2017,4.31,KR,Action,0.0,0.0,video game/wrong accusal/murder/jail/gamer/hacking/jail break,4.469993781094527
203,204,Masked Rider 555 (Faiz) Paradise Lost,2003,4.31,,,,,,
204,205,Son,1991,4.31,CN,Adventure/Fantasy,95000000.0,114178613.0,based on novel or book/magic/chosen one/dark fantasy/witch hunter/evil witch/sword and sorcery/based on young adult novel,4.469993781094527
205,206,Cibel Sunday,1962,4.31,,,,,,
206,207,Every Day,2016,4.31,,,0.0,0.0,,4.469993781094527
207,208,Magdalen Prayer,2002,4.31,,,,,,
208,209,New Participant 2 When the prayer curtain goes down,2017,4.30,,,,,,
209,210,Happiness Hidden,2009,4.30,,,,,,
210,211,Evening Town Cherry Blossoms,2007,4.30,,,,,,
211,212,Madame in New York,2012,4.30,,,,,,
212,213,Amadeus Director's Cut,2002,4.30,,,,,,
213,214,"$ 3 Series, Sunset Gunman Jigoku of Hell",1966,4.30,,,,,,
214,215,I like it hot,1959,4.30,US,Comedy/Romance,2883848.0,25000000.0,chicago/florida/witness/musician/mafia/cross dressing/train/band/spats/all girl band/st. valentine's day massacre/sugar/valentine's day/dressing,4.469993781094527
215,216,Athletic shoes and red goldfish,1997,4.30,,,,,,
216,217,Crossing,2008,4.30,US,Drama/Thriller/Crime,14000000.0,5080409.0,corruption/street gang/prohibition/gun/irish-american/gambling debts/irish mob/violence/neo-noir/1920s,4.469993781094527
217,218,I am radio,2003,4.30,,,,,,
218,219,Walk to Remember,2002,4.30,US,Drama/Romance,11800000.0,47494916.0,based on novel or book/theatre group/north carolina/theatre milieu/high school/cancer/coming of age/tragic love/teenager/star crossed lovers,4.469993781094527
219,220,Seishun Dendekedekedeke,1992,4.30,,,,,,
220,221,Railroader,1956,4.30,,,0.0,0.0,,4.469993781094527
221,222,Fandango,1985,4.30,US,Comedy/Drama,0.0,0.0,trip/airplane/skydiving/automobile/surprise party/austin texas/road movie/male bonding/firework/dusty/stunt flying,4.469993781094527
222,223,Pearl Button,2014,4.30,CL,Documentary,0.0,0.0,,4.469993781094527
223,224,Surely works,2009,4.29,,,,,,
224,225,The silence of the sheep,1991,4.29,,,,,,
225,226,Gladiator,2000,4.29,GB,Action/Drama/Adventure,103000000.0,457640427.0,rome italy/parent child relationship/gladiator/arena/senate/roman empire/emperor/slavery/ancient rome/battlefield/slave auction/ancient world/combat/chariot/philosopher/fictionalized history/barbarian horde/2nd century/successor/maximus,4.469993781094527
226,227,Alien,1979,4.29,US,Horror/Science Fiction,11000000.0,104931801.0,android/spacecraft/countdown/space marine/space suit/beheading/space travel/dystopia/biology/cowardice/space/alien/female protagonist/cult film/parasite/h. r. giger/cosmos/xenomorph,4.469993781094527
227,228,Kamen Rider Heisei Generations Dr. Pac-Man vs. Ex-Aid & Ghost with Legend Rider,2016,4.29,JP,Action/Adventure/Science Fiction,0.0,0.0,video game/tokusatsu/pac-man,4.469993781094527
228,229,Galaxy Quest,1999,4.29,US,Comedy/Family/Science Fiction,45000000.0,90683916.0,spacecraft/space battle/spoof/fictional tv show,4.469993781094527
229,230,Kanda Maru,1982,4.29,,,,,,
230,231,The Man Who Stole the Sun,1979,4.29,JP,Action/Crime/Thriller,0.0,0.0,plutonium/1970s/atomic bomb/terrorism/high school teacher,4.469993781094527
231,232,Ultraman Mebius & Ultra Brothers,2006,4.29,JP,Action/Adventure/Science Fiction,0.0,0.0,tokusatsu/ultraman mebius/ultraseven/ultraman jack/ultraman ace/ultraman taro/zoffy,4.469993781094527
232,233,Sabishinbo,1985,4.29,,,,,,
233,234,The light that my brother lit that day,2016,4.29,,,,,,
234,235,The demon came!,2000,4.29,,,,,,
235,236,Beijing Violin,2002,4.29,,,,,,
236,237,Hana Miracle 46 Days,2012,4.29,,,,,,
237,238,Candidates,2013,4.29,JP,Documentary,0.0,0.0,,4.469993781094527
238,239,Pride and Prejudice,1995,4.29,FR,Drama/Romance,28000000.0,121147947.0,based on novel or book/bachelor/prejudice/suitor/period drama/georgian/pride/18th century/opposites attract,4.469993781094527
239,240,Flame 628,1985,4.29,,,,,,
240,241,Grandfather and Grassland Elementary School,2010),4.29,,,,,,
241,242,Irma la Douce,1963,4.29,US,Comedy/Romance,0.0,0.0,"paris, france/prostitute/pimp/love of one's life/red-light disctrict/pub/police",4.469993781094527
242,243,The last Emperor / original full-length version,1987,4.29,,,,,,
243,244,underground water supply,1956,4.29,,,,,,
244,245,Resistance-From the Note of the Death Penalty-,1956,4.29,,,,,,
245,246,A Woman Is Born Twice,1961,4.29,,,,,,
246,247,The Butterfly Effect,2004,4.28,CA,Science Fiction/Thriller,13000000.0,96060858.0,amnesia/chaos theory/blackout/time travel/flashback,4.469993781094527
247,248,Wild Speed ​​7 SKY MISSION,2015,4.28,US,Action/Crime/Thriller,190000000.0,1506249360.0,car race/speed/street race/revenge/car/race/muscle car,4.469993781094527
248,249,Star Wars 6 Jedi The Revenge of,1983,4.28,,,,,,
249,250,The Invisible Hand of the Goddess,2016,4.28,,,,,,
